"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"init.01","miguelhpm","src/main/resources/script/0-init/database-change-log.xml","2023-01-09T11:09:02.805","1","EXECUTED","8:56bbb6d916aa52282aa6acfc755c3e3f","sqlFile","Creacion de tabla personas","","4.18.0","pro,cal,tst,lcl","init","3280542441"
"1","miguelhpm","src/main/resources/script/0-init/database-change-log.xml","2023-01-09T11:09:02.836","2","EXECUTED","8:a0a441baacde3d312361201511271c33","tagDatabase","","1","4.18.0","pro","","3280542441"
"2022.PI3.SP1-1","miguelhpm","src/main/resources/script/2022/PI3/SP1/database-change-log.xml","2023-01-09T11:09:02.843","3","EXECUTED","8:54750d2b2d40af3473ac0d9c19b55f61","sqlFile","Agregando Campo Nickname","","4.18.0","pro,cal,tst,lcl","persons","3280542441"
"2022.PI3.SP1-2","miguelhpm","src/main/resources/script/2022/PI3/SP1/database-change-log.xml","2023-01-09T11:09:02.858","4","EXECUTED","8:d414d07f7348026709faeb01d4bd9d13","sqlFile","Agregando Campo Birth Date","","4.18.0","pro,cal,tst,lcl","persons","3280542441"
"2022.PI3.SP1-3","miguelhpm","src/main/resources/script/2022/PI3/SP1/database-change-log.xml","2023-01-09T11:09:02.874","5","EXECUTED","8:d28cc698db1fc0b8724fddbf264d82dd","sqlFile","Creando tabla Parametro","","4.18.0","pro,cal,tst,lcl","parameters","3280542441"
"2","miguelhpm","src/main/resources/script/2022/PI3/SP1/database-change-log.xml","2023-01-09T11:09:02.889","6","EXECUTED","8:f8c1b47bf1bf8c0b22d511f7a24f7d9a","tagDatabase","","2","4.18.0","pro","","3280542441"
"2022.PI3.SP2-1","miguelhpm","src/main/resources/script/2022/PI3/SP2/database-change-log.xml","2023-01-09T11:09:02.905","7","EXECUTED","8:70d622e459fd6bb167ac372b3ad26dbd","sqlFile","Parametro de produccion","","4.18.0","pro","parameter-val","3280542441"
"3","miguelhpm","src/main/resources/script/2022/PI3/SP2/database-change-log.xml","2023-01-09T11:09:02.921","8","EXECUTED","8:9e2f56dbb574349ac4e1a621d3ca2477","tagDatabase","","3","4.18.0","pro","","3280542441"
"2022.PI4.SP1-1","miguelhpm","src/main/resources/script/2022/PI4/SP1/database-change-log.xml","2023-01-09T11:09:02.943","9","EXECUTED","8:92ddb8da4abc26f8454ffb11486bb249","sqlFile","Auditoria de la tabla Personas","","4.18.0","pro,cal,tst,lcl","auditoria","3280542441"
"4","miguelhpm","src/main/resources/script/2022/PI4/SP1/database-change-log.xml","2023-01-09T11:09:02.958","10","EXECUTED","8:ee4656e14a5df79d5301a06131250f5f","tagDatabase","","4","4.18.0","pro","","3280542441"
